symbol,marketcap,exchange,exchangeName
AESC,10667324401.0,XNYS,New York Stock Exchange Inc
AESI,1735944010.0,XNYS,New York Stock Exchange Inc
AEVA,265817354.0,XNYS,New York Stock Exchange Inc
AEYE,60708896.0,XNAS,Nasdaq All Markets
AEZS,8740584.0,XNAS,Nasdaq All Markets
AFAR,32206192.0,XNAS,Nasdaq All Markets
AFARU,32206189.0,XNAS,Nasdaq All Markets
AFB,310445309.0,XNYS,New York Stock Exchange Inc
AFBI,105470982.0,XNAS,Nasdaq All Markets
AFCG,227387302.0,XNAS,Nasdaq All Markets
AFG,10148424893.0,XNYS,New York Stock Exchange Inc
AFGB,10098186506.0,XNYS,New York Stock Exchange Inc
AFGC,10072383424.0,XNYS,New York Stock Exchange Inc
AFGD,10239355409.0,XNYS,New York Stock Exchange Inc
AFGE,10269483826.0,XNYS,New York Stock Exchange Inc
AFIB,5708376.0,XNAS,Nasdaq All Markets
AFJK,70242000.0,XNAS,Nasdaq All Markets
AFJKR,70242000.0,XNAS,Nasdaq All Markets
AFJKU,70241995.0,XNAS,Nasdaq All Markets
AFL,45365410783.0,XNYS,New York Stock Exchange Inc
AFMD,85885052.0,XNAS,Nasdaq All Markets
AFRI,279542661.0,XNAS,Nasdaq All Markets
AFRIW,280080243.0,XNAS,Nasdaq All Markets
AFRM,10405906809.0,XNAS,Nasdaq All Markets
AFT,213669449.0,XNYS,New York Stock Exchange Inc
AFYA,983080195.0,XNAS,Nasdaq All Markets
AG,1228987940.0,XNYS,New York Stock Exchange Inc
AGAE,43105916.0,XNAS,Nasdaq All Markets
AGBA,25741121.0,XNAS,Nasdaq All Markets
AGBAW,28454861.0,XNAS,Nasdaq All Markets
AGCO,8498872850.0,XNYS,New York Stock Exchange Inc
AGD,232488498.0,XNYS,New York Stock Exchange Inc
AGEN,288296127.0,XNAS,Nasdaq All Markets
AGFY,4429633.0,XNAS,Nasdaq All Markets
AGI,4572944456.0,XNYS,New York Stock Exchange Inc
AGIO,1397282100.0,XNAS,Nasdaq All Markets
AGL,2868679128.0,XNYS,New York Stock Exchange Inc
AGM,1805830424.0,XNYS,New York Stock Exchange Inc
AGM-C,1892691095.0,XNYS,New York Stock Exchange Inc
AGM-D,1898767157.0,XNYS,New York Stock Exchange Inc
AGM-E,1879070403.0,XNYS,New York Stock Exchange Inc
AGM-F,1922091415.0,XNYS,New York Stock Exchange Inc
AGM-G,1898767158.0,XNYS,New York Stock Exchange Inc
AGM.A,1898767226.0,XNYS,New York Stock Exchange Inc
AGMH,46326748.0,XNAS,Nasdaq All Markets
AGNC,6194307079.0,XNAS,Nasdaq All Markets
AGNCL,6339123598.0,XNAS,Nasdaq All Markets
AGNCM,6402349898.0,XNAS,Nasdaq All Markets
AGNCN,6402349896.0,XNAS,Nasdaq All Markets
AGNCO,6357706754.0,XNAS,Nasdaq All Markets
AGNCP,6314983062.0,XNAS,Nasdaq All Markets
AGNG,55873552.0,XNAS,Nasdaq All Markets
AGO,4732255758.0,XNYS,New York Stock Exchange Inc
AGR,11506434721.0,XNYS,New York Stock Exchange Inc
AGRI,1148806.0,XNAS,Nasdaq All Markets
AGRIW,1309555.0,XNAS,Nasdaq All Markets
AGRO,1029626899.0,XNYS,New York Stock Exchange Inc
AGRX,3526752.0,XNAS,Nasdaq All Markets
AGS,353055300.0,XNYS,New York Stock Exchange Inc
AGTI,961440836.0,XNYS,New York Stock Exchange Inc
AGX,605618231.0,XNYS,New York Stock Exchange Inc
AGYS,2446354655.0,XNAS,Nasdaq All Markets
AGZD,151386000.0,XNAS,Nasdaq All Markets
AHCO,1017466826.0,XNAS,Nasdaq All Markets
AHG,39786870.0,XNAS,Nasdaq All Markets
AHH,767024837.0,XNYS,New York Stock Exchange Inc
AHH-A,804769457.0,XNYS,New York Stock Exchange Inc
AHI,12933648.0,XNAS,Nasdaq All Markets
AHL-C,283800000.0,XNYS,New York Stock Exchange Inc
AHL-D,214730000.0,XNYS,New York Stock Exchange Inc
AHL-E,205200000.0,XNYS,New York Stock Exchange Inc
AHR,0.0,XNYS,New York Stock Exchange Inc
AHT,55189350.0,XNYS,New York Stock Exchange Inc
AHT-D,58983623.0,XNYS,New York Stock Exchange Inc
AHT-F,58983624.0,XNYS,New York Stock Exchange Inc
AHT-G,58983625.0,XNYS,New York Stock Exchange Inc
AHT-H,58983623.0,XNYS,New York Stock Exchange Inc
AHT-I,58983620.0,XNYS,New York Stock Exchange Inc
AI,3423464331.0,XNYS,New York Stock Exchange Inc
AIA,1379997000.0,XNAS,Nasdaq All Markets
AIB,42766376.0,XNAS,Nasdaq All Markets
AIBBR,42766376.0,XNAS,Nasdaq All Markets
AIBBU,42766373.0,XNAS,Nasdaq All Markets
AIF,209366776.0,XNYS,New York Stock Exchange Inc
AIG,48693518190.0,XNYS,New York Stock Exchange Inc
AIG-A,48972668228.0,XNYS,New York Stock Exchange Inc
AIH,24729660.0,XNAS,Nasdaq All Markets
AIHS,5951321.0,XNAS,Nasdaq All Markets
AIMAU,83216500.0,XNAS,Nasdaq All Markets
AIMBU,94559940.0,XNAS,Nasdaq All Markets
AIMD,18466288.0,XNAS,Nasdaq All Markets
AIMDW,19239437.0,XNAS,Nasdaq All Markets
AIN,2771184000.0,XNYS,New York Stock Exchange Inc
AIO,663810989.0,XNYS,New York Stock Exchange Inc
AIP,256875050.0,XNAS,Nasdaq All Markets
AIQ,1195517315.0,XNAS,Nasdaq All Markets
AIR,2218203323.0,XNYS,New York Stock Exchange Inc
AIRC,4524435645.0,XNYS,New York Stock Exchange Inc
AIRE,56696887.0,XNAS,Nasdaq All Markets
AIRG,40208280.0,XNAS,Nasdaq All Markets
AIRL,514034.0,XNAS,Nasdaq All Markets
AIRR,673374618.0,XNAS,Nasdaq All Markets
AIRS,380841689.0,XNAS,Nasdaq All Markets
AIRT,42125055.0,XNAS,Nasdaq All Markets
AIRTP,49705609.0,XNAS,Nasdaq All Markets
AISP,19984822.0,XNAS,Nasdaq All Markets
AISPW,19640256.0,XNAS,Nasdaq All Markets
AIT,7086179461.0,XNYS,New York Stock Exchange Inc
AITR,61310400.0,XNAS,Nasdaq All Markets
AITRR,61310400.0,XNAS,Nasdaq All Markets
AITRU,61310398.0,XNAS,Nasdaq All Markets
AIU,17828218779.0,XNYS,New York Stock Exchange Inc
AIV,1068418396.0,XNYS,New York Stock Exchange Inc
AIXI,155621036.0,XNAS,Nasdaq All Markets
AIZ,8967752522.0,XNYS,New York Stock Exchange Inc
AIZN,8998474377.0,XNYS,New York Stock Exchange Inc
AJG,50680366000.0,XNYS,New York Stock Exchange Inc
AJX,124299094.0,XNYS,New York Stock Exchange Inc
AJXA,128282166.0,XNYS,New York Stock Exchange Inc
AKA,92382337.0,XNYS,New York Stock Exchange Inc
AKAM,18971594623.0,XNAS,Nasdaq All Markets
AKAN,2083595.0,XNAS,Nasdaq All Markets
AKBA,318199502.0,XNAS,Nasdaq All Markets
AKLI,17384765.0,XNAS,Nasdaq All Markets
AKO.A,2078509502.0,XNYS,New York Stock Exchange Inc
AKO.B,2104293905.0,XNYS,New York Stock Exchange Inc
AKR,1582661530.0,XNYS,New York Stock Exchange Inc
AKRO,1171371000.0,XNAS,Nasdaq All Markets
AKTS,64781363.0,XNAS,Nasdaq All Markets
AKTX,13567145.0,XNAS,Nasdaq All Markets
AKYA,268446666.0,XNAS,Nasdaq All Markets
AL,4569881692.0,XNYS,New York Stock Exchange Inc
AL-A,4678834751.0,XNYS,New York Stock Exchange Inc
ALAR,74546693.0,XNAS,Nasdaq All Markets
ALB,13186400408.0,XNYS,New York Stock Exchange Inc
ALBT,4509809.0,XNAS,Nasdaq All Markets
ALC,37662389000.0,XNYS,New York Stock Exchange Inc
ALCC,325589543.0,XNYS,New York Stock Exchange Inc
ALCE,7998243.0,XNAS,Nasdaq All Markets
ALCO,219897289.0,XNAS,Nasdaq All Markets
ALCY,127486570.0,XNAS,Nasdaq All Markets
ALCYU,127486571.0,XNAS,Nasdaq All Markets
ALDX,189407107.0,XNAS,Nasdaq All Markets
ALE,3279660729.0,XNYS,New York Stock Exchange Inc
ALEC,586186693.0,XNAS,Nasdaq All Markets
ALEX,1229853221.0,XNYS,New York Stock Exchange Inc
ALG,2606556477.0,XNYS,New York Stock Exchange Inc
ALGM,5915444234.0,XNAS,Nasdaq All Markets
ALGN,22547069270.0,XNAS,Nasdaq All Markets
ALGS,50953657.0,XNAS,Nasdaq All Markets
ALGT,1407690270.0,XNAS,Nasdaq All Markets
ALHC,1263186577.0,XNAS,Nasdaq All Markets
ALIM,201804838.0,XNAS,Nasdaq All Markets
ALIT,4640958247.0,XNYS,New York Stock Exchange Inc
ALK,4676498372.0,XNYS,New York Stock Exchange Inc
ALKS,4685192104.0,XNAS,Nasdaq All Markets
ALKT,2425050243.0,XNAS,Nasdaq All Markets
ALL,41220946321.0,XNYS,New York Stock Exchange Inc
ALL-B,41643672516.0,XNYS,New York Stock Exchange Inc
ALL-H,40904311178.0,XNYS,New York Stock Exchange Inc
ALL-I,41297478240.0,XNYS,New York Stock Exchange Inc
ALL-J,41235668021.0,XNYS,New York Stock Exchange Inc
ALLE,11363222543.0,XNYS,New York Stock Exchange Inc
ALLG,268571693.0,XNYS,New York Stock Exchange Inc
ALLK,114156621.0,XNAS,Nasdaq All Markets
ALLO,775755412.0,XNAS,Nasdaq All Markets
ALLR,2007043.0,XNAS,Nasdaq All Markets
ALLT,70359761.0,XNAS,Nasdaq All Markets
ALLY,10600800232.0,XNYS,New York Stock Exchange Inc
ALNT,455536378.0,XNAS,Nasdaq All Markets
ALNY,20669940006.0,XNAS,Nasdaq All Markets
ALOT,127844143.0,XNAS,Nasdaq All Markets
ALPN,1715051809.0,XNAS,Nasdaq All Markets
ALPP,14317099.0,XNAS,Nasdaq All Markets
ALRM,3346682139.0,XNAS,Nasdaq All Markets
ALRN,21203122.0,XNAS,Nasdaq All Markets
ALRS,441598214.0,XNAS,Nasdaq All Markets
ALSA,137652604.0,XNAS,Nasdaq All Markets
