date,symbol,close
2024-01-17,IOT,32.36
2024-01-18,IOT,31.85
2024-01-19,IOT,32.26
2024-01-22,IOT,33.3
2024-01-23,IOT,32.57
2024-01-24,IOT,31.26
2024-01-25,IOT,31.07
2024-01-26,IOT,30.85
2024-01-29,IOT,32.29
2024-01-30,IOT,32.09
2024-01-31,IOT,31.4
2024-02-01,IOT,31.63
2024-02-02,IOT,32.51
2024-02-05,IOT,31.77
2024-02-06,IOT,31.72
2024-02-07,IOT,32.41
2024-02-08,IOT,34.31
2024-02-09,IOT,35.47
2024-02-12,IOT,34.49
2024-02-13,IOT,32.67
2024-02-14,IOT,34.59
2024-02-15,IOT,34.98
2024-02-16,IOT,34.44
2024-02-20,IOT,32.93
2024-02-21,IOT,31.57
2024-02-22,IOT,32.69
2024-02-23,IOT,33.31
2024-02-26,IOT,33.49
2024-02-27,IOT,33.78
2024-02-28,IOT,33.21
2024-02-29,IOT,34.55
2023-09-01,ENPH,128.73
2023-09-05,ENPH,127.77
2023-09-06,ENPH,123.03
2023-09-07,ENPH,122.23
2023-09-08,ENPH,120.23
2023-09-11,ENPH,122.19
2023-09-12,ENPH,123.35
2023-09-13,ENPH,119.6
2023-09-14,ENPH,122.31
2023-09-15,ENPH,120.3
2023-09-18,ENPH,117.16
2023-09-19,ENPH,122.09
2023-09-20,ENPH,123.97
2023-09-21,ENPH,124.85
2023-09-22,ENPH,119.92
2023-09-25,ENPH,121.1
2023-09-26,ENPH,119.15
2023-09-27,ENPH,120.11
2023-09-28,ENPH,120.02
2023-09-29,ENPH,120.15
2023-10-02,ENPH,116.84
2023-10-03,ENPH,114.22
2023-10-04,ENPH,117.18
2023-10-05,ENPH,116.01
2023-10-06,ENPH,119.16
2023-10-09,ENPH,119.75
2023-10-10,ENPH,125.75
2023-10-11,ENPH,128.61
2023-10-12,ENPH,124.58
2023-10-13,ENPH,123.81
2023-10-16,ENPH,127.11
2023-10-17,ENPH,129.24
2023-10-18,ENPH,123.84
2023-10-19,ENPH,115.9
2023-10-20,ENPH,98.89
2023-10-23,ENPH,96.29
2023-10-24,ENPH,94.84
2023-10-25,ENPH,94.35
2023-10-26,ENPH,96.18
2023-10-27,ENPH,82.09
2023-10-30,ENPH,78.66
2023-10-31,ENPH,79.58
2023-11-01,ENPH,76.73
2023-11-02,ENPH,78.92
2023-11-03,ENPH,80.81
2023-11-06,ENPH,78.18
2023-11-07,ENPH,78.83
2023-11-08,ENPH,76.9
2023-11-09,ENPH,75.56
2023-11-10,ENPH,77.98
2023-11-13,ENPH,78.55
2023-11-14,ENPH,91.39
2023-11-15,ENPH,92.81
2023-11-16,ENPH,90.67
2023-11-17,ENPH,92.86
2023-11-20,ENPH,98.5
2023-11-21,ENPH,98.32
2023-11-22,ENPH,100.2
2023-11-24,ENPH,100.22
2023-11-27,ENPH,97.8
2023-11-28,ENPH,99.1
2023-11-29,ENPH,100.96
2023-11-30,ENPH,101.02
2023-12-01,ENPH,106.52
2023-12-04,ENPH,108.87
2023-12-05,ENPH,110.0
2023-12-06,ENPH,106.77
2023-12-07,ENPH,107.17
2023-12-08,ENPH,103.01
2023-12-11,ENPH,103.55
2023-12-12,ENPH,99.82
2023-12-13,ENPH,107.61
2023-12-14,ENPH,120.22
2023-12-15,ENPH,123.92
2023-12-18,ENPH,124.03
2023-12-19,ENPH,135.32
2023-12-20,ENPH,128.0
2023-12-21,ENPH,133.86
2023-12-22,ENPH,133.99
2023-12-26,ENPH,137.34
2023-12-27,ENPH,135.63
2023-12-28,ENPH,134.79
2023-12-29,ENPH,132.14
2024-01-02,ENPH,131.24
2024-01-03,ENPH,122.63
2024-01-04,ENPH,118.07
2024-01-05,ENPH,115.39
2024-01-08,ENPH,116.0
2024-01-09,ENPH,117.06
2024-01-10,ENPH,117.54
2024-01-11,ENPH,114.29
2024-01-12,ENPH,110.22
2024-01-16,ENPH,108.75
2024-01-17,ENPH,105.55
2024-01-18,ENPH,106.66
2024-01-19,ENPH,103.59
2024-01-22,ENPH,107.15
2024-01-23,ENPH,111.3
2024-01-24,ENPH,108.07
2024-01-25,ENPH,106.83
2024-01-26,ENPH,105.37
2024-01-29,ENPH,109.17
2024-01-30,ENPH,106.35
2024-01-31,ENPH,104.13
2024-02-01,ENPH,105.44
2024-02-02,ENPH,101.76
2024-02-05,ENPH,97.8
2024-02-06,ENPH,100.51
2024-02-07,ENPH,117.51
2024-02-08,ENPH,116.88
2024-02-09,ENPH,122.47
2024-02-12,ENPH,128.9
2024-02-13,ENPH,123.56
2024-02-14,ENPH,131.62
2024-02-15,ENPH,136.39
2024-02-16,ENPH,131.87
2024-02-20,ENPH,127.55
2024-02-21,ENPH,126.24
2024-02-22,ENPH,123.44
2024-02-23,ENPH,118.19
2024-02-26,ENPH,119.84
2024-02-27,ENPH,121.11
2024-02-28,ENPH,119.1
2024-02-29,ENPH,127.01
2023-09-01,SWKS,109.68
2023-09-05,SWKS,109.13
2023-09-06,SWKS,106.18
2023-09-07,SWKS,98.38
2023-09-08,SWKS,99.38
2023-09-11,SWKS,98.23
2023-09-12,SWKS,96.91
2023-09-13,SWKS,96.64
2023-09-14,SWKS,99.24
2023-09-15,SWKS,98.21
2023-09-18,SWKS,98.5
2023-09-19,SWKS,97.82
2023-09-20,SWKS,96.33
2023-09-21,SWKS,96.28
2023-09-22,SWKS,96.42
2023-09-25,SWKS,97.76
2023-09-26,SWKS,95.93
2023-09-27,SWKS,96.3
2023-09-28,SWKS,97.89
2023-09-29,SWKS,98.59
2023-10-02,SWKS,98.25
2023-10-03,SWKS,97.03
2023-10-04,SWKS,97.57
2023-10-05,SWKS,96.76
2023-10-06,SWKS,98.32
2023-10-09,SWKS,98.22
2023-10-10,SWKS,98.3
2023-10-11,SWKS,97.88
2023-10-12,SWKS,96.95
2023-10-13,SWKS,94.6
2023-10-16,SWKS,95.84
2023-10-17,SWKS,95.66
2023-10-18,SWKS,94.22
2023-10-19,SWKS,93.58
2023-10-20,SWKS,92.19
2023-10-23,SWKS,90.46
2023-10-24,SWKS,91.52
2023-10-25,SWKS,88.57
2023-10-26,SWKS,88.61
2023-10-27,SWKS,88.23
2023-10-30,SWKS,86.45
2023-10-31,SWKS,86.74
2023-11-01,SWKS,87.06
2023-11-02,SWKS,89.5
2023-11-03,SWKS,91.05
2023-11-06,SWKS,90.0
2023-11-07,SWKS,89.36
2023-11-08,SWKS,87.9
2023-11-09,SWKS,86.5
2023-11-10,SWKS,90.03
2023-11-13,SWKS,88.91
2023-11-14,SWKS,92.85
2023-11-15,SWKS,94.04
2023-11-16,SWKS,93.37
2023-11-17,SWKS,94.2
2023-11-20,SWKS,94.74
2023-11-21,SWKS,93.68
2023-11-22,SWKS,94.27
2023-11-24,SWKS,94.9
2023-11-27,SWKS,94.6
2023-11-28,SWKS,94.78
2023-11-29,SWKS,96.0
2023-11-30,SWKS,96.93
2023-12-01,SWKS,98.19
2023-12-04,SWKS,98.94
2023-12-05,SWKS,99.04
2023-12-06,SWKS,100.3
2023-12-07,SWKS,102.28
2023-12-08,SWKS,103.78
2023-12-11,SWKS,106.69
2023-12-12,SWKS,106.67
2023-12-13,SWKS,108.97
2023-12-14,SWKS,113.41
2023-12-15,SWKS,112.59
2023-12-18,SWKS,111.27
2023-12-19,SWKS,111.61
2023-12-20,SWKS,109.57
2023-12-21,SWKS,112.18
2023-12-22,SWKS,112.84
2023-12-26,SWKS,114.51
2023-12-27,SWKS,114.41
2023-12-28,SWKS,113.92
2023-12-29,SWKS,112.42
2024-01-02,SWKS,109.11
2024-01-03,SWKS,105.21
2024-01-04,SWKS,103.22
2024-01-05,SWKS,103.27
2024-01-08,SWKS,106.07
2024-01-09,SWKS,104.58
2024-01-10,SWKS,104.33
2024-01-11,SWKS,103.09
2024-01-12,SWKS,102.48
2024-01-16,SWKS,102.3
2024-01-17,SWKS,100.22
2024-01-18,SWKS,103.73
2024-01-19,SWKS,106.04
2024-01-22,SWKS,108.59
2024-01-23,SWKS,109.79
2024-01-24,SWKS,107.8
