symbol,date,close,high,low,open,volume
IOT,2023-11-21,26.39,27.57,25.76,26.91,2432561
HCI,2023-11-21,85.02,86.07,82.6,83.3,104136
CRMT,2023-11-21,78.33,79.035,77.78,78.77,29900
HCI,2023-11-22,85.7,85.91,83.685,85.06,102013
CRMT,2023-11-22,78.07,79.89,77.53,78.3,40120
IOT,2023-11-22,26.72,27.12,26.415,26.88,1042546
CRMT,2023-11-24,78.52,79.0,76.61,77.55,23567
IOT,2023-11-24,27.27,27.47,26.2418,26.48,983286
HCI,2023-11-24,87.41,87.8999,85.92,86.18,45750
IOT,2023-11-27,26.79,27.6799,26.78,27.19,2190269
HCI,2023-11-27,87.25,87.53,84.67,87.0,117212
CRMT,2023-11-27,76.78,78.75,76.51,78.52,69277
HCI,2023-11-28,85.75,87.3028,85.3973,87.2,66834
IOT,2023-11-28,26.88,26.995,26.1278,26.65,2078790
CRMT,2023-11-28,77.31,78.42,75.61,76.38,33192
CRMT,2023-11-29,79.16,80.68,78.55,78.55,60303
IOT,2023-11-29,28.14,28.71,27.32,27.34,4334025
HCI,2023-11-29,83.79,86.4,82.98,85.75,109841
CRMT,2023-11-30,79.87,80.49,77.56,79.98,99766
IOT,2023-11-30,27.54,28.6896,26.86,28.55,5156289
HCI,2023-11-30,84.77,85.92,83.7006,84.48,91756
CRMT,2023-12-01,75.47,80.49,75.17,79.36,130470
IOT,2023-12-01,34.59,34.74,29.63,31.0,16766615
HCI,2023-12-01,85.91,86.91,83.8168,84.29,141014
IOT,2023-12-04,34.3,35.69,32.8,34.2,7735876
HCI,2023-12-04,84.94,86.58,84.71,85.66,94939
CRMT,2023-12-04,80.83,82.17,74.55,75.12,210660
CRMT,2023-12-05,66.29,69.9899,59.51,60.0,529038
IOT,2023-12-05,34.67,35.24,33.5,34.11,6876940
HCI,2023-12-05,84.87,86.11,83.3494,84.39,131404
IOT,2023-12-06,34.62,35.99,34.23,35.15,4790271
HCI,2023-12-06,86.29,86.34,84.45,85.34,174055
CRMT,2023-12-06,63.65,68.23,62.967,65.52,253350
CRMT,2023-12-07,61.21,64.08,60.45,64.08,166356
IOT,2023-12-07,33.73,34.85,33.63,34.42,2750395
HCI,2023-12-07,88.05,90.81,81.9,81.9,872378
HCI,2023-12-08,88.4,88.765,86.64,88.0,237452
CRMT,2023-12-08,60.58,61.835,59.75,61.18,115630
IOT,2023-12-08,33.67,34.69,32.27,33.4,4699077
IOT,2023-12-11,33.91,34.43,33.1,33.35,3165644
HCI,2023-12-11,88.04,89.49,87.41,88.66,198098
CRMT,2023-12-11,61.36,62.58,59.8,60.73,88256
IOT,2023-12-12,34.18,35.18,33.17,33.76,4589486
CRMT,2023-12-12,59.41,61.6717,58.74,61.6,131068
HCI,2023-12-12,87.16,88.27,86.93,88.05,127195
IOT,2023-12-13,35.92,35.98,33.95,34.29,4827491
CRMT,2023-12-13,63.0,63.515,58.12,59.29,206951
HCI,2023-12-13,85.91,87.66,85.25,87.65,154589
IOT,2023-12-14,35.64,36.91,34.87,36.7,5452074
HCI,2023-12-14,88.38,88.41,85.59,86.46,119506
CRMT,2023-12-14,72.07,72.51,64.03,64.99,189305
IOT,2023-12-15,33.99,35.8,32.61,35.73,9636343
HCI,2023-12-15,85.67,89.25,85.22,88.48,307983
CRMT,2023-12-15,72.23,73.72,71.03,73.27,328904
HCI,2023-12-18,85.97,86.4971,83.975,86.3,107064
CRMT,2023-12-18,70.57,73.22,69.57,72.5,78235
IOT,2023-12-18,34.29,35.06,33.7,33.77,2983312
HCI,2023-12-19,87.26,87.625,86.1,87.05,106561
CRMT,2023-12-19,73.36,74.2619,71.26,71.55,115069
IOT,2023-12-19,34.18,34.93,33.87,34.45,3139169
CRMT,2023-12-20,73.22,77.55,72.405,72.8,194526
HCI,2023-12-20,85.06,87.11,84.2023,86.9,115324
IOT,2023-12-20,33.12,34.25,32.74,33.55,3342782
CRMT,2023-12-21,75.74,75.75,73.5,74.22,42582
HCI,2023-12-21,84.7,86.38,83.9676,86.04,60697
IOT,2023-12-21,33.79,33.9,32.75,33.64,2695596
HCI,2023-12-22,84.39,85.82,84.1,84.94,64616
IOT,2023-12-22,34.01,35.04,33.66,33.86,2662597
CRMT,2023-12-22,79.7,79.8,75.73,75.85,77763
IOT,2023-12-26,34.82,35.575,34.15,34.26,2671203
CRMT,2023-12-26,82.65,83.07,79.57,80.0,87114
HCI,2023-12-26,85.18,85.51,83.99,84.33,55236
IOT,2023-12-27,33.46,35.7,33.212,34.89,4052818
CRMT,2023-12-27,82.08,82.93,80.915,82.52,130326
HCI,2023-12-27,87.04,87.1,85.14,85.4068,65605
CRMT,2023-12-28,79.47,82.69,79.03,82.0,77503
IOT,2023-12-28,33.87,34.28,33.1,33.4,2046803
HCI,2023-12-28,86.14,87.81,86.14,87.0564,44696
HCI,2023-12-29,87.4,87.63,84.2017,85.6,172282
CRMT,2023-12-29,75.77,79.835,75.325,79.62,113703
IOT,2023-12-29,33.38,33.99,33.01,33.68,2253924
CRMT,2024-01-02,69.02,71.59,67.59,70.9,136238
HCI,2024-01-02,88.44,90.0,86.7,87.1,99118
IOT,2024-01-02,31.38,32.975,31.102,32.75,3477165
IOT,2024-01-03,30.32,31.1,30.3,30.78,2601597
CRMT,2024-01-03,63.85,68.13,63.83,68.13,99810
HCI,2024-01-03,93.18,93.69,87.775,88.2,218081
IOT,2024-01-04,30.17,30.93,29.8,30.08,1784763
CRMT,2024-01-04,63.8,64.4279,61.915,63.22,76779
