symbol,marketcap,exchange,exchangeName,marketcapType
AFMD,88110208.0,XNAS,Nasdaq All Markets,Micro-Cap
AFRI,279542661.0,XNAS,Nasdaq All Markets,Micro-Cap
AFRIW,280080243.0,XNAS,Nasdaq All Markets,Micro-Cap
AFRM,10444841356.0,XNAS,Nasdaq All Markets,Large-Cap
AFT,214136656.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AFYA,981163392.0,XNAS,Nasdaq All Markets,Small-Cap
AG,1228987940.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGAE,40895356.0,XNAS,Nasdaq All Markets,Micro-Cap
AGBA,26889675.0,XNAS,Nasdaq All Markets,Micro-Cap
AGBAW,28454861.0,XNAS,Nasdaq All Markets,Micro-Cap
AGCO,8487640859.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AGD,232861474.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AGEN,280170274.0,XNAS,Nasdaq All Markets,Micro-Cap
AGFY,4429633.0,XNAS,Nasdaq All Markets,Micro-Cap
AGI,4525309618.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AGIO,1407342531.0,XNAS,Nasdaq All Markets,Small-Cap
AGL,2899132197.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AGM,1829444662.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGM-C,1892691095.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGM-D,1898767157.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGM-E,1879070403.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGM-F,1895484486.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGM-G,1876770908.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGM.A,1898767226.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGMH,46326748.0,XNAS,Nasdaq All Markets,Micro-Cap
AGNC,6221151313.0,XNAS,Nasdaq All Markets,Mid-Cap
AGNCL,6339123598.0,XNAS,Nasdaq All Markets,Mid-Cap
AGNCM,6402349898.0,XNAS,Nasdaq All Markets,Mid-Cap
AGNCN,6402349896.0,XNAS,Nasdaq All Markets,Mid-Cap
AGNCO,6357706754.0,XNAS,Nasdaq All Markets,Mid-Cap
