date,symbol,Close,High,Low,Open,Volume
2023-12-08,PPC,26.28,26.4615,26.1,26.44,269985
2023-12-11,PPC,26.2,26.315,26.09,26.25,435977
2023-12-12,PPC,25.8,26.295,25.6,26.24,742029
2023-12-13,PPC,26.96,27.11,25.72,25.82,1105078
2023-12-14,PPC,26.42,27.38,26.27,27.17,910606
2023-12-15,PPC,25.98,26.5,25.68,26.38,1386519
2023-12-18,PPC,26.15,26.44,25.87,26.03,749260
2023-12-19,PPC,26.55,26.705,26.17,26.34,617048
2023-12-20,PPC,26.47,26.92,26.065,26.45,585087
2023-12-21,PPC,26.78,26.8,26.37,26.65,546518
2023-12-22,PPC,26.83,26.95,26.755,26.78,305967
2023-12-26,PPC,26.97,27.015,26.69,26.82,214886
2023-12-27,PPC,27.19,27.33,26.85,27.02,503302
2023-12-28,PPC,27.57,27.74,27.1892,27.26,586514
2023-12-29,PPC,27.66,27.84,27.33,27.61,723068
2024-01-02,PPC,28.4,28.46,27.27,27.44,791621
2024-01-03,PPC,28.0,28.35,27.9,28.32,739168
2024-01-04,PPC,28.0,28.01,27.53,28.0,993605
2024-01-05,PPC,28.31,28.48,27.91,28.01,859608
2024-01-08,PPC,28.9,29.02,28.31,28.41,907706
2024-01-09,PPC,28.71,28.94,28.67,28.89,514135
2024-01-10,PPC,28.51,28.96,28.46,28.73,541411
2024-01-11,PPC,28.24,28.4,27.9775,28.37,474049
2024-01-12,PPC,28.3,28.545,28.01,28.46,523915
2024-01-16,PPC,28.25,28.43,28.12,28.31,459130
2024-01-17,PPC,28.34,28.46,27.95,28.01,516044
2024-01-18,PPC,28.32,28.5,28.13,28.28,336641
2024-01-19,PPC,27.89,28.32,27.715,28.32,459067
2024-01-22,PPC,27.95,28.09,27.43,27.85,717384
2024-01-23,PPC,27.9,28.25,27.75,28.02,460523
2024-01-24,PPC,27.4,27.96,27.38,27.96,567656
2024-01-25,PPC,27.31,27.6,27.25,27.5,610919
2024-01-26,PPC,27.55,27.65,27.39,27.39,534400
2024-01-29,PPC,27.75,27.77,27.48,27.63,403810
2024-01-30,PPC,27.76,27.81,27.49,27.64,227239
2024-01-31,PPC,27.17,27.82,27.12,27.74,332645
2024-02-01,PPC,27.5,27.51,26.89,27.1,700444
2024-02-02,PPC,27.04,27.525,27.024,27.44,554817
2024-02-05,PPC,26.95,27.6737,26.93,27.35,749741
2024-02-06,PPC,26.92,27.01,26.8,26.95,492316
2024-02-07,PPC,27.14,27.32,26.52,26.93,662696
2024-02-08,PPC,27.29,27.31,27.01,27.12,325404
2024-02-09,PPC,27.31,27.39,27.18,27.38,544324
2024-02-12,PPC,28.03,28.23,27.31,27.31,799085
2024-02-13,PPC,28.01,28.055,27.57,27.89,666394
2024-02-14,PPC,28.08,28.13,27.59,28.01,548364
2024-02-15,PPC,28.59,28.845,27.99,28.17,599287
2024-02-16,PPC,28.55,28.76,28.22,28.44,389904
2024-02-20,PPC,29.13,29.2325,28.2916,28.45,699270
2024-02-21,PPC,28.98,29.24,28.91,29.2,391496
2024-02-22,PPC,28.76,28.95,28.6,28.95,417596
2024-02-23,PPC,28.87,29.02,28.49,28.72,889883
2024-02-26,PPC,31.19,31.2399,30.0,31.0,2749923
2024-02-27,PPC,32.21,32.63,31.48,31.72,1987727
2024-02-28,PPC,32.36,32.56,32.04,32.35,1296634
2024-02-29,PPC,31.84,32.5,31.31,32.48,1403307
2024-03-01,PPC,32.09,32.12,31.565,31.83,1015175
2024-03-04,PPC,31.85,32.25,31.6,32.09,685146
2024-03-05,PPC,32.3,32.51,31.8,32.0,738070
2024-03-06,PPC,31.97,32.315,31.73,32.31,502648
2024-03-07,PPC,32.39,32.45,31.77,32.07,858730
2024-03-08,PPC,32.39,32.45,32.06,32.33,435075
2024-03-11,PPC,32.86,33.12,32.42,32.57,952841
2024-03-12,PPC,33.38,33.62,32.75,32.77,1379236
2024-03-13,PPC,32.98,33.69,32.65,33.54,1075804
