,close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
611,7.25,8.3,6.64,7.02,2024-02-22,SWIN,112386,HISTORICAL_PRICES,SWIN,,2024-02-22,1708653644000,0.19243421052631576,0.19243421052631576,7.02,7.25,8.3,6.64,112386,7.02,7.25,8.3,6.64,112386,"Feb 22, 24",-0.27010000000000023,-0.0359,SWIN
737,32.57,32.77,32.56,32.77,2024-02-26,STRV,132029,HISTORICAL_PRICES,STRV,,2024-02-26,1708999233000,0.12737971616476287,0.12737971616476287,32.77,32.57,32.77,32.56,132029,32.77,32.57,32.77,32.56,132029,"Feb 26, 24",-0.030000000000001137,-0.0009,STRV
12,25.22,27.36,25.15,27.15,2023-09-20,IOT,4509703,HISTORICAL_PRICES,IOT,,2023-09-20,1695258076000,-0.18461041060459105,-0.18461041060459105,27.15,25.22,27.36,25.15,4509703,27.15,25.22,27.36,25.15,4509703,"Sep 20, 23",-1.9299999999999997,-0.0711,IOT
942,472.7,472.975,468.84,471.33,2023-12-21,SPY,86667465,HISTORICAL_PRICES,SPY,,2023-12-21,1703210447000,0.047673928943460606,0.047673928943460606,471.33,472.7,472.975,468.84,86667465,471.33,472.7,472.975,468.84,86667465,"Dec 21, 23",4.439999999999998,0.0095,SPY
439,125.35,126.08,120.945,121.23,2023-12-07,ALB,3971253,HISTORICAL_PRICES,ALB,,2023-12-07,1702938098000,-0.374063717167682,-0.374063717167682,121.23,125.35,126.08,120.945,3971253,120.884,124.992,125.72,120.6,3971253,"Dec 7, 23",7.049999999999997,0.0596,ALB
954,476.56,477.4481,473.87,474.16,2024-01-10,SPY,67310640,HISTORICAL_PRICES,SPY,,2024-01-10,1704938462000,0.05622908309138058,0.05622908309138058,474.16,476.56,477.4481,473.87,67310640,474.16,476.56,477.4481,473.87,67310640,"Jan 10, 24",2.680000000000007,0.0057,SPY
410,135.21,138.95,134.675,136.39,2023-10-26,ALB,2272266,HISTORICAL_PRICES,ALB,,2023-10-26,1702938110000,-0.3248277239588534,-0.3248277239588534,136.39,135.21,138.95,134.675,2272266,136.001,134.824,138.553,134.29,2272266,"Oct 26, 23",-0.10999999999998522,-0.0008,ALB
496,6.08,12.74,4.1,4.55,2023-09-07,SWIN,15256993,HISTORICAL_PRICES,SWIN,,2023-09-07,1694134834000,0.0,0.0,4.55,6.08,12.74,4.1,15256993,4.55,6.08,12.74,4.1,15256993,"Sep 7, 23",0.0,0.0,SWIN
937,472.01,473.73,469.25,472.5,2023-12-14,SPY,119026049,HISTORICAL_PRICES,SPY,,2023-12-14,1703110587000,0.04614463973049047,0.04614463973049047,472.5,472.01,473.73,469.25,119026049,470.592,470.104,471.817,467.355,119026049,"Dec 14, 23",1.509999999999991,0.0032,SPY
328,114.41,114.87,113.7,114.59,2023-12-27,SWKS,1140120,HISTORICAL_PRICES,SWKS,,2023-12-27,1703732447000,0.04312545587162645,0.04312545587162645,114.59,114.41,114.87,113.7,1140120,114.59,114.41,114.87,113.7,1140120,"Dec 27, 23",-0.10000000000000853,-0.0009,SWKS
